,id,breed,breed_id
4853,79c132b5981112afd66ccf194005be1e,komondor,60.0
3518,57a12c8dcfb907f389dfa244f2987004,irish_wolfhound,68.0
5548,8c170e9b6122bf2d003e109bef89e42f,norwegian_elkhound,75.0
579,0e47c35f24067b19557e15fcfd48778c,gordon_setter,96.0
159,03cae0a6700c5cc4900e576034361e7a,groenendael,8.0
1887,2e8df776be90cef2e363474dccd92cbb,welsh_springer_spaniel,19.0
2701,42a49cd92129a383d959dd3a52bae3f9,otterhound,67.0
8406,d2fa72633103a5c503b4365563bfd3a9,pug,85.0
5496,8aa65793a60f8feb59925d6ece493bf0,doberman,63.0
5699,8fb2be84faae8faae043077b5508bcfb,sealyham_terrier,47.0
6402,a1891d8dc13175e926eeb5a217098755,old_english_sheepdog,34.0
1856,2db5c814202dff431a0f984ad9df7140,golden_retriever,55.0
4045,64b270ba08308fbf74b8a91e256bd666,collie,16.0
9541,ef22e67b6d82c04f2d17249e42769d35,standard_poodle,98.0
2124,34e5e9ec00ea38b9109221140042a8fc,pembroke,72.0
4277,6aae9f70dbe1507eff5b79f6d4c77ed0,australian_terrier,35.0
9618,f1f03709a6fb351e6255cabc277c5fc4,dhole,24.0
7672,c02707afcb697c42ee9e15028d5ef685,collie,16.0
5300,858e7823ed319c10e78d9df1f456ff7a,dhole,24.0
1507,254b66cf5e7e30ad3380e9c1120baf35,bull_mastiff,44.0
3782,5dc9c12f0878656c49d97c6bb9dd3aa0,groenendael,8.0
3650,5add2f9fdf959c5dd8e5b2b21128864d,sealyham_terrier,47.0
1509,25526168121fe509d4b323dcb6e23a7b,blenheim_spaniel,15.0
4388,6d7af0b8075fd13d63be35074d4af91d,komondor,60.0
2873,46f4367cc34c84f02b25a7eb7205cb3e,basenji,52.0
5480,8a415118e76252555a6ae5aa9c86bf62,bluetick,6.0
8405,d2e61a4e7c51fc88d45245f096df1745,brittany_spaniel,43.0
3889,607af117d6e596b71476157ffde6ed8c,chow,49.0
5716,9012a23092a021327763c4227cfa2f62,boxer,42.0
7117,b28dd4ec5ad70c3901a54447ef7ec5ab,basset,46.0
9286,e91b2802897234af87d09702a6b23b16,african_hunting_dog,88.0
2747,4390ec0ddb52711687825153550e0f6c,norwich_terrier,119.0
7367,b897b5c77e688a12adc103d5d3a85c2a,miniature_schnauzer,14.0
3152,4dda730d52cb20a368f65a49ddd1b2ae,bedlington_terrier,84.0
7568,bd9b29f039b5ecf255916a26662070c0,english_springer,64.0
5946,96304329e537c8202c65e246198559a9,chesapeake_bay_retriever,18.0
154,03bc1c631e57ba87c85b98efd0912c00,bedlington_terrier,84.0
6270,9e577dd7c29bc6074a80fed5ade75d0d,toy_poodle,0.0
4398,6dd7730512384e02b227d759efe20ee4,french_bulldog,48.0
9696,f3e5d0f516c56df7b58b4488f13bb00f,samoyed,1.0
9502,ee1ce2280494dc07f516970abee34d55,airedale,12.0
133,032620ae0f847d957d94d1fd76cb17e8,dhole,24.0
1835,2d43d94c05bc9f45dec6d50ba85bb880,australian_terrier,35.0
2128,34fc5c4709c9d815dbf4b78d4d816d10,standard_poodle,98.0
9652,f2ef034a335cdd15cda34408d3e89998,kuvasz,82.0
6886,acfe87af21ad64e518f9ca6a64d728bd,golden_retriever,55.0
3193,4ef03eeb57a551cc7376413dd1b397d0,japanese_spaniel,100.0
1529,25c795ad08d87a312345e74cf469c5d3,giant_schnauzer,92.0
1597,277fb3822b1c07eeae9346ec61c99028,clumber,95.0
4115,6685558aaa49755e998feb063cf9f42e,curly-coated_retriever,36.0
3184,4e8d1cbfa6a477abe4b9e5a2ecbf1818,australian_terrier,35.0
722,11c3b389906a9302def1e873c9f9b6c9,flat-coated_retriever,90.0
6061,992985d9287168502fa34d6de994e946,american_staffordshire_terrier,116.0
6814,ab1b5ed3e3894eb6caa70609add09443,ibizan_hound,30.0
7485,bbdf0182c894bda733805993317a6e3d,komondor,60.0
9627,f23dffefcd4ae2dee8a5dbf67e41b699,yorkshire_terrier,86.0
3514,578fed8e31c96406eaa447ae3ff604ba,dingo,101.0
8236,ce101a2ad530221d3fd8b252bc4eb682,dhole,24.0
3188,4eaab0b882ea39c56caa2f4a0671ea47,giant_schnauzer,92.0
5458,89c5baab87b86eff18560be8f58f481c,siberian_husky,118.0
4938,7bfb770e356f25a6e6d044fca4a2b66a,chesapeake_bay_retriever,18.0
1220,1e19af1794d48529224eab0538eba520,borzoi,113.0
9236,e8057e2f1e3bca4e9f4a2af48a9a9c46,standard_schnauzer,7.0
3420,55132cf806d48347350caa4a31f0126b,malinois,106.0
8576,d7413008ce8567c15e05cb6894ec49a2,bouvier_des_flandres,110.0
1082,1ad61e0aa827fe8f39e5592523ded6d7,malamute,53.0
1942,2fd9a6a052c866a35b8aeeb89ca727c4,saluki,58.0
9763,f5c21557b2fdf621b48720357ea35df2,scottish_deerhound,78.0
3380,53f55bd1db61a777322184bbde411466,newfoundland,112.0
1201,1dd157eb81bd16a7c44b923aff1c1815,bernese_mountain_dog,25.0
9060,e3a6203b61fa9cd2ffad92ebe31334ca,silky_terrier,41.0
4153,6762783f84d52175288ca1de18f1033a,african_hunting_dog,88.0
2183,36b5e85c07a980914b311163b9f87404,appenzeller,54.0
6487,a3497ac3214a11cfe377ddf69fb2b727,rottweiler,76.0
6165,9b43109fbcae180376e10ab60c522f48,chesapeake_bay_retriever,18.0
7545,bd44350905957efade85f098ee2e2b33,african_hunting_dog,88.0
8258,ceba42b006bf3f03f643d641d253f25d,kerry_blue_terrier,23.0
2140,354d0d202926549c7932f012ac752a4a,afghan_hound,20.0
9188,e6cdf82e11fd0ee6f73c55c0b4944616,standard_schnauzer,7.0
10109,fd186806d3d7f123d9a568bcde794f6e,irish_terrier,59.0
1578,271dfc72a582a0a9b54e833788cafad3,miniature_pinscher,89.0
7966,c72d3f068d6fa7929104de1c6f308c1c,basset,46.0
528,0cf285cc3f1625bd80288cd6b7ddb7e0,cocker_spaniel,77.0
176,04254919cc15c6867cccfd738a926999,walker_hound,57.0
3928,6190f035170a14652b0b1942cb12c954,australian_terrier,35.0
2499,3e47bc6ccd92abf16209f4125ddc7aea,norwegian_elkhound,75.0
9620,f2039c11f872cbd5e01c2bbb959f7d45,irish_terrier,59.0
2633,413764ac4af585e252f48e6ac2482c6a,irish_wolfhound,68.0
7279,b6561ca0cb1acc71733564cab65fe6b2,silky_terrier,41.0
7785,c2c0f72ae94cdf9bddb23b3708568f61,tibetan_mastiff,104.0
1312,20898ac13cbf93d1c4465a32ab96bfb3,malamute,53.0
6780,aa5be862598201f0b88ce2146b99102d,border_collie,83.0
3291,51c877eefa09249a4539c8fa5444b694,bernese_mountain_dog,25.0
2640,417b4a513d4a07f4040edc84dc23df9e,english_foxhound,37.0
7039,b084d252acbffe3520120c45314ffeb7,kelpie,29.0
7668,c013b74dd463214e272a09400d1ba088,pekinese,107.0
1087,1ae8f1675d619a2414a2c67f6cceed76,papillon,99.0
7839,c40118c553a50c1cef797460f297a4f5,bluetick,6.0
2529,3f05463033fe271b456d30e3222b84ee,toy_terrier,51.0
7567,bd990d4fc279bbfcf6bf8cc832101b39,miniature_poodle,31.0
6585,a5a53eff680b48fedf9352844c094335,norfolk_terrier,39.0
6717,a8965b5b9649335721b516e0e6e67122,scottish_deerhound,78.0
8403,d2cd0fbf8d10eee50d53e8147000015d,briard,56.0
3078,4be035761258a6abcbbd3183a137ef17,weimaraner,38.0
7212,b4b902c850a291cdfbf36335429f5230,flat-coated_retriever,90.0
5325,85fde01acabf9dce3f4bb3bc3b5a5f28,dhole,24.0
9834,f776961d52ba3a7112506389623c8586,dingo,101.0
5352,86bd30760385bad95c9c03f97619eb99,siberian_husky,118.0
7453,bb498a83a13172068481ab3513469efa,japanese_spaniel,100.0
1842,2d5f90898716876858ff1bf7f418d7d7,groenendael,8.0
6701,a813fb413eec1274376cbddf9061fed5,boxer,42.0
7226,b51261d75a427148d502ecd9108312db,doberman,63.0
9731,f5091fcbb9e639158ad406a3d793ff62,great_dane,79.0
5689,8f8ea6a2db06234fcd7368112be96c47,bloodhound,73.0
799,13cab1309bdaf21aa17cf71fd6f88a65,old_english_sheepdog,34.0
6326,9f998d6174571017fdc6e8c0ee14cadc,standard_poodle,98.0
7804,c339148268da677c54ce6b4e7a697391,beagle,105.0
1997,3178e11aee69979049dfd339931fe94f,blenheim_spaniel,15.0
4792,783d78ba59079ffb9c3c0bf8252a72a9,irish_setter,81.0
7929,c62d6c163cbe1109462aa729bc4f425c,chesapeake_bay_retriever,18.0
3645,5a9377a43cbe86ef888b59458dacf909,american_staffordshire_terrier,116.0
7593,be5304acd0cf03c1a64f12622b8605b6,shih-tzu,3.0
1870,2e153ac08edd067a1dd998dc64a3b62e,miniature_pinscher,89.0
7105,b23d0aef01e57245cdcd4af901a04ae9,border_terrier,71.0
3919,6165570f2467fe31881a89caca859b52,great_pyrenees,28.0
7181,b3eb6305969fbae09c13ef3b9e5c2dc4,whippet,21.0
7431,ba1b7aa01e1c871c5e3acd08b65516e7,brittany_spaniel,43.0
578,0e403e86dc961d59fec94dfb62968a53,pug,85.0
7573,bdd0ac143814012a86b6c23ef16a3094,norwegian_elkhound,75.0
8457,d4602ae68c721a6c7a0839b7f1f69af7,borzoi,113.0
7674,c02f83947002646c705681ef6433294a,airedale,12.0
982,182c9134e07c883dfdc2acfb21184810,bull_mastiff,44.0
4284,6ad75b6d8df1443af1704b8cdf858632,golden_retriever,55.0
7364,b89557cf7a288ef15aafc5251ff58765,bull_mastiff,44.0
2915,482e38ca587e19af6e2dfa5532da7347,entlebucher,26.0
4713,7646c6262a98a429448ed8cf1d39a342,eskimo_dog,33.0
1421,23463bc4fef6a1a71d45025e7dde4c58,brabancon_griffon,10.0
5855,93ab7f7688f5f974cab9bd3c43d5d726,saint_bernard,65.0
9045,e34ee9dce9546a1b520c1c8a3badb605,curly-coated_retriever,36.0
8960,e0fd9680fc1183c6c2de18e711192fe5,shetland_sheepdog,66.0
9909,f8e53f2c3cdcdd5e42e7337d5b5156b4,redbone,2.0
5338,8650b152539571456f690c4f5a7ce77d,borzoi,113.0
4007,63aa22cfbcdf6637ce75d8bfd16f4dc7,pug,85.0
713,118089e60763cbdba239cac747a54a6e,rottweiler,76.0
6924,add47db070492c3ed9d3b76f1886d684,basset,46.0
2799,44b1787b1f6c88c76b501140829f4d15,norwich_terrier,119.0
6629,a6951e4f0cff9c000f2f112043abb085,collie,16.0
2337,3a2603cc09e33589ac18ffdb646468db,norwich_terrier,119.0
5101,8101b90ffae96e4a152ff3cbbe55a23b,norwich_terrier,119.0
565,0ddf7ab49836b36081621a655f3a5c21,welsh_springer_spaniel,19.0
6730,a8da1804e683a16557ef4dc51b281399,chesapeake_bay_retriever,18.0
6223,9ce66abbf81462439d6dd6805af1d9a1,irish_water_spaniel,40.0
3007,4a50b85cdf5b3c300ed828bec3a45b10,tibetan_mastiff,104.0
5161,8285089151a7b4b24ef8b1f8e9a4dc2b,papillon,99.0
4691,75a3eed24c4f6404f12186413372d38d,bull_mastiff,44.0
1861,2ddaeb3ee36cba02e028b809a4c88ca4,ibizan_hound,30.0
9432,eca90f594e91b6689c0908e365cac5ce,doberman,63.0
6458,a2abeac260a7efb447af530cf5ce70c9,pomeranian,117.0
2495,3e2009481c79f78113c4fe58b0ccc1d5,bull_mastiff,44.0
1826,2d238157ee1f8d2c02ca68668d864ae0,tibetan_mastiff,104.0
2411,3c1461a647fe9318acb8d3969f6f6c64,toy_poodle,0.0
9973,fa5296383aa39dd516c2f5610c6e71b0,collie,16.0
3182,4e80242b50eb1c68dc04cbea094fccf1,silky_terrier,41.0
4827,792cd4056f5d7c3abf870d72c8a6abf7,komondor,60.0
8520,d5db9bd4d022fc34ac15a27bd99b8e02,american_staffordshire_terrier,116.0
272,0672592809da7574a87ddcd0ba2f315d,standard_schnauzer,7.0
334,080ebefee69f27243b185c113052963e,cardigan,61.0
2853,46566ca45a91babab7f12b30c39b9acf,kuvasz,82.0
7046,b0b2f68210c947e1365d9d8687bdec0e,boxer,42.0
3714,5c8c894495971a65f0a179bc4c0ca0bb,wire-haired_fox_terrier,94.0
1585,2741e3ca0ac4e0f7810e7c66e2f260fb,pug,85.0
6812,ab1715c4f68734a7fecb8901e9baf72a,irish_terrier,59.0
974,17f5ba5fee5bbebe781009cf8d3e1809,collie,16.0
1831,2d30f37b3d5d20b9740e3fdd273101bd,pembroke,72.0
3348,531d4859fec4f1b7359bd663a9c9b4c7,great_pyrenees,28.0
9611,f1a18e29959bc5af735ebb5045f91b25,dhole,24.0
2029,3276746904f57c4fcbb794bbbb27e7dc,flat-coated_retriever,90.0
1095,1b2ad6fc60a6c5238d9e0a5863d310fa,english_foxhound,37.0
8878,de9c66567290fc6574e102d21dc3a957,african_hunting_dog,88.0
5293,85662233bce63d5ac7e5e9fdbf49c654,shih-tzu,3.0
834,146c8ed2e65ed9e04d8302bf1d96815a,entlebucher,26.0
4707,76290f345b8ad1f7bb4b1f5167b7b3ea,sussex_spaniel,109.0
9437,eccb17b497007b28217bda18db73cce1,french_bulldog,48.0
7483,bbdcf5e0c3c76f8ce4e1edf534a1545f,flat-coated_retriever,90.0
3373,53cb3ed2547cdaf15ec7983d8325f007,redbone,2.0
6425,a204ac96b29ca9f6af5571194e14ea8e,brabancon_griffon,10.0
6581,a5883bb0395e9a69929a7d9585e406be,doberman,63.0
3771,5da9cb489b6d6be58b7ecd643f69c46e,silky_terrier,41.0
6049,98ca3754dedce74f75155973f1018a93,norwegian_elkhound,75.0
1001,18b4c97445c5d20d2199b35f9c2043e4,standard_schnauzer,7.0
1495,24fdea7f3df1b2a7e2cc4100b7af81ac,clumber,95.0
5397,881d49b759a56cdf1956f0015099675d,tibetan_mastiff,104.0
5143,81f54bbafb8cc5d2d6db34707ec6d78f,chow,49.0
8644,d9028d963306ad99dc5f55b94bc47f5b,golden_retriever,55.0
8816,dd10fca78ab9624a15f55293c36ad292,basenji,52.0
7159,b38d84aa581bb69d437ce2b128198012,japanese_spaniel,100.0
5920,957e390e19baa6d163079835a28155b9,basset,46.0
2060,33841dc1479dadaf29b7d2c84fdc7ac4,lakeland_terrier,91.0
5840,937e122b29817a9aad7786d14b713cf3,cardigan,61.0
555,0db44ddb42bf1f97de987abe2bf01839,entlebucher,26.0
8847,ddd8c3182bae599b884efb8cf4112f6c,scotch_terrier,103.0
8681,d9e02a65ba3b640f29e3e0bbf9a70ecc,samoyed,1.0
6108,9a10d6f7fb0c766648b1ce1374fa72fa,italian_greyhound,9.0
377,09288e5c39391b780412561163b10bf5,afghan_hound,20.0
1669,29743dcc4d439615133f2024b50aab15,lhasa,87.0
6396,a157149eee9f9262b497534d5f05742a,blenheim_spaniel,15.0
4087,65cc3ff3e0b8041eb6e8600c1ee53e95,blenheim_spaniel,15.0
9056,e399ac36963facd47d52aa56df4e6e83,giant_schnauzer,92.0
3220,4fd442326ea8d856652aea5afb8f5dbc,maltese_dog,111.0
4987,7db94bf9f2634ed4cb5b8f8212cbd0a7,toy_poodle,0.0
1297,203581bbee6e5dc08c511d236aae6ec4,black-and-tan_coonhound,32.0
5313,85c581c27e5087f96a06de686e97dc88,tibetan_terrier,17.0
4528,70f9f88c25bfdaab568342b7163171e4,norwegian_elkhound,75.0
3981,62e486758df361fb4dd2748e57924737,lakeland_terrier,91.0
491,0bbe00ace11a4dd944b8bcf8ca9772c1,labrador_retriever,62.0
9479,eda47249346bbb28d89a524e3ff0c66b,leonberg,102.0
1797,2c8dbe1eb23a69bbeca2ed49f2476819,bloodhound,73.0
4001,6366e33e378df764b143dbae6809b756,beagle,105.0
6020,9802d488e7a0b8b4fb04bfe2af2361f9,airedale,12.0
1098,1b507c0901420f8aa4e8d1fea74a1372,appenzeller,54.0
6497,a3929452e7341352c0263072c15f37ea,bernese_mountain_dog,25.0
4367,6cdbe1dfad3257b604c514eba9ae4697,leonberg,102.0
4671,74ffb8a7f908911c5b39808feab0a582,schipperke,5.0
5560,8c66150fd3c6c144ce2cf79496b4a6e1,malamute,53.0
7490,bbf29c0682dc5b3ff78c810053aea0ec,norwegian_elkhound,75.0
2004,31b6ee728915433aad07164838e20a55,yorkshire_terrier,86.0
3910,611a30b0211c0e907c7122c5850f8246,leonberg,102.0
8619,d875ddeeafd44e1404b4ce4f376a3922,saluki,58.0
5281,8516b9f462f35ffa2d1d7f8abe860630,afghan_hound,20.0
4532,7129840d23b58c55f1b83194a5a36326,saluki,58.0
5187,8313f9f0f044f5a5cf328aabc806d01c,curly-coated_retriever,36.0
4088,65cd559abd686738f972bf12273ab38b,rhodesian_ridgeback,13.0
9350,ea8bb75412610ee545d8c026ae789f4d,otterhound,67.0
6486,a341328ad1bca600b3a8a0bb0cdde1bc,weimaraner,38.0
9353,ea9ae902f4ca9241c1187992c51db9bb,weimaraner,38.0
10192,ff4afeb51a1473f7ba18669a8ff48bc9,border_terrier,71.0
10140,fdcedfa9f9ae621a4889e844b9e2940d,irish_water_spaniel,40.0
9148,e5d7f92c5a70ddd58cf5dd32d573bd2b,kelpie,29.0
5417,88a3cc5a66105089522f6fd894e65a55,basenji,52.0
3358,5358013e726a0a565886fd371e9dd3e5,rottweiler,76.0
9118,e52be5cc43cf78690312e1098422ea7d,cairn,50.0
841,14918e76fc079738923ea5ab8d12b4ee,tibetan_terrier,17.0
6162,9b36711d6b30d9e868622cb2524cd4cf,standard_schnauzer,7.0
1453,243a801532ba613be030c802954b580c,ibizan_hound,30.0
5607,8d91d75c382b8685accb5aa89e5ba489,pomeranian,117.0
8844,ddcaf8e4f88b5c86a622cd62cfadfd5f,german_shepherd,115.0
6787,aa76a766aad6753f32298c00a0cb92df,scotch_terrier,103.0
6547,a4c8a08f7738cc7e2eda28aeb44e3468,staffordshire_bullterrier,70.0
8859,de1f5f90eed51d8229d197a91d35f4d4,bluetick,6.0
9862,f811a137cac1489f074529064f79acfe,dingo,101.0
1102,1b85a40f3c79e9d94e975216792ef52d,dingo,101.0
4920,7b647794985a1d03affb644b5a95d413,afghan_hound,20.0
7638,bf38a009aaf46963526ce4a35d9535ee,german_shepherd,115.0
8923,dfed11d5d68bd13d8587bd3047ef8e5c,labrador_retriever,62.0
6027,9839d076759d03fb33db62f180efeaa6,norfolk_terrier,39.0
7344,b80f2392885a0bc5bfc3aa79a849de93,pekinese,107.0
8052,c940c8808aefc1ad992d341273bf4050,leonberg,102.0
2890,478d54ecf957b06bb738544e8828d62e,curly-coated_retriever,36.0
3629,5a25e01de0b1793ad0872c100bb8d2ca,golden_retriever,55.0
2279,38d35ebad2ded36e23d24b39d9be2297,beagle,105.0
5670,8ef2c118289d0d5a142ae28651a46ab4,standard_schnauzer,7.0
6933,ae0cf4a8076e52a04632de2b8e9a911b,maltese_dog,111.0
7751,c21404efbc13ac4523f6f6a09c7ed703,soft-coated_wheaten_terrier,69.0
4653,746fcae0bd84652032ea716b9fbe4400,kelpie,29.0
1568,26cddb3b74e27e894d785776b00dd329,tibetan_terrier,17.0
4772,77c28f5613c5e7bd0ee27cad00d8e4bd,malamute,53.0
1118,1be0f5da239e9c76a8b3693b2ff8c67f,rottweiler,76.0
7127,b2c7527d2688dc1eef6c31ff9e6e2395,borzoi,113.0
1651,28f7140259e0f9d36cd67cb3f194fe34,groenendael,8.0
5384,87dfb129c12c369824f5425980158386,clumber,95.0
1516,258a8531e8ff16c40d750fa3ae77bd68,pekinese,107.0
8329,d0a79a274e32f238ee0a14781fab1f60,cairn,50.0
2661,41d143460374a7ffa245b073891184f0,saint_bernard,65.0
8456,d459a1fe285bc112bfe00615390e2632,scotch_terrier,103.0
3046,4b47fe23fa6972002789b8c68cdf7395,sealyham_terrier,47.0
6664,a7551603593a58e352ecc73d487fc7af,komondor,60.0
1043,19fb6b46c01c27f8cdc3b8245875707f,sussex_spaniel,109.0
7304,b703bbc774d79659d9890a1bab2eeb4a,border_terrier,71.0
1237,1e998f09db4f87eebc1fd5cbafd4aca7,golden_retriever,55.0
4136,66f9b3f4c009d1bcdb765c38b0d51cd6,dandie_dinmont,114.0
9792,f66de1bea3790719f70ef37779889a02,eskimo_dog,33.0
6031,985bbacc9509d794dde32e0619b3264e,old_english_sheepdog,34.0
8427,d3ab6b3d328b2cd91bed99aee99fa6ed,kuvasz,82.0
467,0b2e635ebad8aba82656c8fceb05018c,bloodhound,73.0
4823,78f9f919d2ab1396a4b99b9c6a3d2074,silky_terrier,41.0
1103,1b866ad9190f2c7a2615f9ccbbf8f278,afghan_hound,20.0
5119,8161ff9d8b2b1b91280f268463c51065,tibetan_terrier,17.0
10009,fb1d0dffd97612ee562cc17a98b683e4,lakeland_terrier,91.0
9603,f16a87262b19602f017d48f050aed0de,keeshond,80.0
1607,279b0cdad8d881d5c8a90f1a09c73561,komondor,60.0
1278,1fc16112b9cc5a249b9b8331fa06335d,sussex_spaniel,109.0
5457,89c587a6a853c816d3cea9337a8e814a,scottish_deerhound,78.0
3207,4f72c6e2e2dc954810365cb28d9896e6,briard,56.0
2702,42aef46885c278f15ebef2b739cc2279,toy_terrier,51.0
1559,2695c92b1303ab96f329c3790db5edb0,kelpie,29.0
4741,76f34fedeebaa49f5ce0faf1b7465798,chow,49.0
5567,8c91464904ba9bfee08c4af8091b10e3,newfoundland,112.0
10168,fea60fdd28de5834520134d6dc77a9a2,black-and-tan_coonhound,32.0
7407,b9703b559578d34c832cab8b43887289,japanese_spaniel,100.0
167,03edf850d74d43b2587991ecb673fb33,scotch_terrier,103.0
1235,1e7a5a361d584ce7bf21bf608483515a,airedale,12.0
4340,6c38ebf47534fcba5593729ce9036b91,walker_hound,57.0
4156,67701487906aebc113f3690152b62bdf,norwegian_elkhound,75.0
226,053106ed091eac5e129225315ef6cfcb,maltese_dog,111.0
1454,243b71efb7163b30a7cbc7e95933ea61,maltese_dog,111.0
9469,ed6e570e10f027ff20f0ab3598153193,english_springer,64.0
2081,33ea902c5831dd6d3fca19b1a9a97da7,miniature_poodle,31.0
6507,a3d4baf88f32073eb9fda83ff629728e,brittany_spaniel,43.0
3433,55697c703ea8d87b81fe44cc6748646f,norfolk_terrier,39.0
382,0943d1d4677ab876b52468096baaa2ce,english_foxhound,37.0
3192,4edfc93408cef61336881d3016df6e6d,scottish_deerhound,78.0
5462,89e486c54ca7c2537abe3522142a3537,saint_bernard,65.0
9336,ea43c69e5c1321a6d05d0caaceb69318,saint_bernard,65.0
3039,4b121cf73eb3908731fea83dce67dab9,norfolk_terrier,39.0
6466,a2cf649e9d08ee2289ca1dd90e089cc3,miniature_pinscher,89.0
1765,2bd7de172c5d3df19fbd1e184cc55e0d,bedlington_terrier,84.0
6259,9e18f1df8e71e373a30a04036c4c8f9c,norwegian_elkhound,75.0
9720,f4a331375dc879c5bfc682221d143fb0,maltese_dog,111.0
1533,25e39234fec7980d3dbed17e21f4b8c1,siberian_husky,118.0
296,0724948de3506f43cda65804efe79b9b,miniature_poodle,31.0
5899,94df662b75abda1cbe203738a2b22148,afghan_hound,20.0
2250,383a4848931aa3c6c8ba315bdb6ed4ea,pomeranian,117.0
3784,5dd233e5a5beb31530c71c6534a8bc4c,bedlington_terrier,84.0
8502,d587009bd0b5c64c7fdb52c9317978c2,afghan_hound,20.0
2021,322ae8b57db468bdaee8f450e980cf8a,chihuahua,45.0
4582,72747719b03c5ff7124878156e8004e7,labrador_retriever,62.0
5711,8fef339017219eb3967f930c062f9dba,english_foxhound,37.0
3480,56b09db9124699cb5b2dfa57a68126bd,maltese_dog,111.0
7251,b5b618aec816a9dd7d7b9588630fd4e3,tibetan_terrier,17.0
6669,a7702c83da79d54e27d2e9b1f01fe64e,pug,85.0
7216,b4d893d6a05c58cbbd9b8b5a0173bfce,border_collie,83.0
8606,d82604c1aa6728c546eaf1c3a85f980d,ibizan_hound,30.0
2933,4870139299e458b90e24ef7e46e52635,boxer,42.0
598,0eac90a6621ecbf97adfec04596b77a3,tibetan_mastiff,104.0
8750,db4e4609382f8d359d30f758d9abc9df,shetland_sheepdog,66.0
9822,f72944994eecb182f41456a820149950,pug,85.0
6616,a65b55ba1e520c585f53ce1b8fb90303,whippet,21.0
9688,f3c31d575505827557a5fe80f7bba070,schipperke,5.0
